Sex,Age,Eng1,Math1,Phy1,Chem1,Bio1,Eng2,Math2,Phy2,Chem2,Bio2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Eng3,Math3,Phy3,Chem3,Bio3
M,17.0,61.0,47.0,50.0,47.0,63.0,60.0,34.0,59.0,47.0,36.0,Satisfactory,Mother Only,5000-10000,Degree,Yes,2.5-3,Civil Servant,Yes,66.0,47.0,47.0,47.0,81.0
F,17.0,63.0,53.0,67.0,59.0,70.0,68.0,62.0,84.0,55.0,59.0,Satisfactory,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,65.0,40.0,47.0,54.0,70.0
M,16.0,77.0,51.0,58.0,50.0,67.0,79.0,47.0,64.0,52.0,49.0,Satisfactory,Mother Only,More Than 20000,Degree,Yes,3-3.5,Trading,No,55.0,45.0,58.0,57.0,50.0
M,18.0,87.0,46.0,60.0,53.0,74.0,89.0,45.0,62.0,41.0,48.0,Good,Mother and Father,5000-10000,Degree,No,3.5-4,Trading,Yes,83.0,56.0,59.0,54.0,73.0
F,16.0,68.0,51.0,60.0,53.0,72.0,76.0,51.0,65.0,53.0,48.0,Good,Mother and Father,10000-20000,High School,Yes,2.5-3,Civil Servant,Yes,56.0,54.0,54.0,52.0,81.0
F,18.0,68.0,57.0,75.0,61.0,78.0,72.0,62.0,64.0,56.0,69.0,Good,Mother and Father,5000-10000,High School,No,3-3.5,Trading,Yes,63.0,57.0,55.0,60.0,96.0
M,17.0,71.0,42.0,65.0,51.0,57.0,69.0,50.0,68.0,26.0,56.0,Good,Mother and Father,5000-10000,Degree,No,2.5-3,Civil Servant,Yes,55.0,48.0,48.0,43.0,65.0
F,17.0,60.0,50.0,56.0,55.0,59.0,55.0,62.0,63.0,64.0,58.0,Good,Mother Only,Less Than 5000,High SchoolDropout,No,3-3.5,Civil Servant,Yes,79.0,57.0,47.0,55.0,55.0
M,19.0,68.0,40.0,55.0,58.0,61.0,75.0,44.0,64.0,67.0,56.0,Satisfactory,Mother and Father,Less Than 5000,High SchoolDropout,No,3-3.5,Military,Yes,56.0,56.0,55.0,40.0,77.0
F,18.0,65.0,51.0,51.0,55.0,42.0,82.0,52.0,66.0,52.0,44.0,Good,Mother and Father,5000-10000,High SchoolDropout,No,2.5-3,Trading,Yes,53.0,55.0,50.0,43.0,76.0
F,19.0,85.0,55.0,61.0,46.0,69.0,84.0,42.0,69.0,54.0,55.0,Good,Mother and Father,5000-10000,Degree,No,3-3.5,Civil Servant,Yes,75.0,59.0,60.0,60.0,83.0
F,16.0,79.0,52.0,55.0,66.0,70.0,81.0,52.0,66.0,60.0,48.0,Very Good,Mother and Father,5000-10000,High School,Yes,3-3.5,Military,Yes,72.0,53.0,54.0,48.0,76.0
M,16.0,58.0,47.0,64.0,48.0,64.0,66.0,47.0,70.0,52.0,45.0,Very Good,Mother and Father,Less Than 5000,High School,Yes,2.5-3,Military,Yes,61.0,49.0,46.0,49.0,78.0
M,19.0,65.0,80.0,81.0,69.0,85.0,80.0,70.0,78.0,56.0,65.0,Good,Other Relatives,Less Than 5000,High SchoolDropout,No,3-3.5,Artisan,Yes,84.0,55.0,53.0,49.0,71.0
M,16.0,53.0,43.0,62.0,62.0,74.0,73.0,62.0,77.0,63.0,52.0,Good,Siblings,Less Than 5000,Degree,Yes,3-3.5,Civil Servant,No,65.0,50.0,55.0,55.0,66.0
F,17.0,68.0,51.0,55.0,60.0,50.0,65.0,51.0,62.0,59.0,51.0,Satisfactory,Father Only,10000-20000,Degree,Yes,3-3.5,Trading,Yes,55.0,43.0,53.0,46.0,69.0
F,17.0,57.0,50.0,51.0,53.0,53.0,74.0,53.0,62.0,61.0,41.0,Satisfactory,Mother and Father,More Than 20000,Degree,No,3-3.5,Trading,Yes,60.0,61.0,57.0,44.0,79.0
F,17.0,73.0,54.0,53.0,52.0,68.0,84.0,45.0,67.0,54.0,49.0,Good,Mother Only,More Than 20000,Degree,No,3.5-4,Trading,No,69.0,50.0,54.0,43.0,83.0
F,18.0,66.0,58.0,71.0,73.0,77.0,77.0,53.0,69.0,74.0,63.0,Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,67.0,52.0,58.0,66.0,67.0
M,18.0,71.0,47.0,57.0,44.0,56.0,69.0,41.0,68.0,41.0,34.0,Good,Mother Only,10000-20000,Masters,No,3-3.5,Artisan,Yes,60.0,46.0,50.0,46.0,64.0
M,17.0,63.0,56.0,61.0,58.0,60.0,69.0,62.0,69.0,59.0,47.0,Satisfactory,Mother and Father,5000-10000,Degree,No,2.5-3,Trading,Yes,59.0,51.0,54.0,53.0,82.0
F,15.0,78.0,55.0,73.0,71.0,84.0,67.0,55.0,64.0,70.0,69.0,Very Good,Mother and Father,5000-10000,Masters,No,2.5-3,Civil Servant,Yes,68.0,60.0,59.0,63.0,79.0
F,17.0,70.0,46.0,55.0,53.0,59.0,75.0,54.0,67.0,55.0,47.0,Satisfactory,Mother and Father,More Than 20000,Degree,No,3-3.5,Trading,Yes,70.0,56.0,46.0,51.0,65.0
F,16.0,63.0,47.0,55.0,50.0,53.0,72.0,42.0,64.0,51.0,47.0,Excellent,Mother Only,Less Than 5000,Degree,Yes,3-3.5,Civil Servant,Yes,64.0,54.0,58.0,55.0,87.0
M,18.0,71.0,52.0,56.0,45.0,63.0,72.0,52.0,66.0,56.0,48.0,Satisfactory,I Live Alone,Less Than 5000,High SchoolDropout,Yes,2.5-3,Military,No,61.0,44.0,45.0,46.0,79.0
F,18.0,56.0,50.0,60.0,63.0,64.0,70.0,54.0,69.0,54.0,49.0,Good,Mother Only,5000-10000,Diploma,Yes,3-3.5,Trading,Yes,54.0,54.0,51.0,50.0,79.0
M,17.0,67.0,50.0,63.0,70.0,69.0,72.0,53.0,67.0,61.0,53.0,Good,Mother and Father,5000-10000,High School,Yes,3.5-4,Trading,Yes,58.0,52.0,44.0,49.0,86.0
F,17.0,50.0,52.0,59.0,52.0,45.0,62.0,52.0,61.0,59.0,46.0,Very Good,Mother and Father,Less Than 5000,Diploma,Yes,2.5-3,Civil Servant,Yes,50.0,48.0,40.0,49.0,60.0
F,17.0,56.0,52.0,55.0,55.0,67.0,81.0,57.0,65.0,63.0,51.0,Satisfactory,Mother and Father,5000-10000,High School,Yes,3-3.5,Trading,Yes,55.0,47.0,48.0,46.0,79.0
M,20.0,59.0,67.0,63.0,54.0,47.0,72.0,55.0,53.0,59.0,72.0,Good,Mother Only,5000-10000,Masters,Yes,2.5-3,Civil Servant,Yes,75.0,60.0,48.0,59.0,81.0
M,17.0,62.0,47.0,61.0,57.0,62.0,85.0,51.0,43.0,47.0,70.0,Good,Mother Only,10000-20000,Diploma,No,2.5-3,Artisan,Yes,66.0,60.0,42.0,55.0,69.0
F,16.0,52.0,51.0,64.0,50.0,61.0,77.0,59.0,63.0,56.0,74.0,Excellent,Other Relatives,5000-10000,Diploma,No,2-2.5,Civil Servant,Yes,56.0,48.0,47.0,57.0,86.0
